ID,ApplicationId,IncidentNumber,CreatedOn,Priority,ScheduleTypeId,Title,Detail,CreatedBy
1,1,INCAP2001,5/1/2023,1,1,Database clean up,Please perform database clean up ,Hari
2,1,INCAP2002,5/12/2023,1,1,User access issue,Joana has requested for access to raw materials in item master,Ram
3,1,INCAP2003,5/15/2023,1,1,Application not working,Application throwing internal server error to the user when he tries to open.,Shiva
4,1,INCAP2004,5/4/2023,3,1,Updating Order details for CHA-2022-144,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Mohan
5,1,INCAP2005,5/5/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Gauri
6,1,INCAP2006,5/22/2023,2,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Kartik
7,1,INCAP2007,5/4/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Naina
8,1,INCAP2008,5/4/2023,3,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Hari
9,1,INCAP2009,5/4/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Ram
10,7,INCRP2001,5/1/2023,2,1,Database clean up,Please perform database clean up ,Shiva
11,7,INCRP2002,5/2/2023,3,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Mohan
12,7,INCRP2003,5/2/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Gauri
13,7,INCRP2004,5/4/2023,3,1,User access issue,Joana has requested for access to raw materials in item master,Kartik
14,7,INCRP2005,5/7/2023,1,3,Application not working,Application throwing internal server error to the user when he tries to open.,Naina
15,7,INCRP2006,5/12/2023,1,3,Updating Order details for CHA-2022-144,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Hari
16,7,INCRP2007,5/4/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Ram
17,3,IN32001,5/22/2023,3,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Shiva
18,3,IN32002,5/24/2023,2,1,Database clean up,Please perform database clean up ,Mohan
19,3,IN32003,5/4/2023,3,1,Updating Order details for CHA-2022-111,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Gauri
20,3,IN32004,5/15/2023,1,2,Application not working,Application throwing internal server error to the user when he tries to open.,Kartik
21,3,IN32005,5/1/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Naina
22,3,IN32006,5/2/2023,3,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Hari
23,3,IN32007,5/2/2023,4,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Ram
24,3,IN32008,5/7/2023,3,1,User access issue,Joana has requested for access to raw materials in item master,Shiva
25,3,IN32009,5/12/2023,3,2,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Mohan
26,2,INCAG2001,5/2/2023,3,2,User access issue,Joana has requested for access to raw materials in item master,Gauri
27,2,INCAG2002,5/4/2023,1,2,Database clean up,Please perform database clean up ,Kartik
28,2,INCAG2003,5/7/2023,1,2,Application not working,Application throwing internal server error to the user when he tries to open.,Naina
29,2,INCAG2004,5/12/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Hari
30,2,INCAG2005,5/4/2023,1,2,Application not working,Application throwing internal server error to the user when he tries to open.,Ram
31,2,INCAG2006,5/22/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Shiva
32,2,INCAG2007,5/24/2023,3,3,Updating Order details for CHA-2022-100,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Mohan
33,2,INCAG2008,5/4/2023,1,3,Updating Order details for CHA-2022-123,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Gauri
34,2,INCAG2009,5/15/2023,4,3,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Kartik
